c Example graph converted from input format to desired format
p sp 1000 149181
a 0 3 16707
a 0 6 25000
a 0 16 14796
a 0 17 52737
a 0 19 2168
a 0 21 3956
a 0 26 38371
a 0 33 38482
a 0 37 17415
a 0 38 39644
a 0 54 30156
a 0 61 8734
a 0 65 12902
a 0 71 11717
a 0 76 35776
a 0 81 6059
a 0 90 8710
a 0 94 994
a 0 97 1229
a 0 98 7666
a 0 105 15308
a 0 113 37179
a 0 119 2851
a 0 143 66165
a 0 145 7001
a 0 148 12366
a 0 149 12252
a 0 153 49408
a 0 168 9847
a 0 171 4975
a 0 179 924
a 0 186 21482
a 0 187 37349
a 0 194 6944
a 0 204 17448
a 0 205 3055
a 0 216 22190
a 0 219 54696
a 0 222 5155
a 0 223 30819
a 0 226 3309
a 0 228 2339
a 0 240 56130
a 0 241 6491
a 0 250 18020
a 0 251 30485
a 0 252 47776
a 0 258 20037
a 0 264 24008
a 0 277 12159
a 0 279 1177
a 0 289 32815
a 0 290 4642
a 0 299 26164
a 0 303 25908
a 0 304 18954
a 0 305 8226
a 0 315 56
a 0 319 7608
a 0 321 5986
a 0 323 3317
a 0 336 8717
a 0 337 20401
a 0 345 19583
a 0 346 30178
a 0 347 25663
a 0 361 54813
a 0 363 9748
a 0 365 1493
a 0 372 60179
a 0 373 12297
a 0 375 20393
a 0 378 1030
a 0 385 46213
a 0 390 10237
a 0 400 15
a 0 407 7778
a 0 411 9779
a 0 424 47513
a 0 429 5396
a 0 436 68938
a 0 437 11748
a 0 440 12263
a 0 450 934
a 0 462 4121
a 0 472 48831
a 0 480 31385
a 0 482 11226
a 0 484 3677
a 0 490 12183
a 0 492 59476
a 0 509 6102
a 0 511 4132
a 0 514 5263
a 0 520 31647
a 0 529 5627
a 0 534 24253
a 0 535 36657
a 0 538 30217
a 0 545 10257
a 0 550 13735
a 0 551 29266
a 0 568 18109
a 0 571 4571
a 0 580 1713
a 0 585 5472
a 0 594 591
a 0 595 51183
a 0 602 12585
a 0 606 66781
a 0 618 29255
a 0 622 1607
a 0 624 2848
a 0 625 1269
a 0 626 7734
a 0 628 13458
a 0 630 31010
a 0 639 6223
a 0 640 25842
a 0 643 502
a 0 644 2366
a 0 650 10096
a 0 652 1269
a 0 657 19679
a 0 661 1355
a 0 664 800
a 0 690 21554
a 0 694 12575
a 0 697 1768
a 0 707 17723
a 0 708 1184
a 0 714 12418
a 0 715 8317
a 0 722 18417
a 0 726 3036
a 0 748 60734
a 0 752 5823
a 0 763 22666
a 0 770 8059
a 0 773 13503
a 0 779 607
a 0 786 26998
a 0 791 8742
a 0 802 18064
a 0 803 1054
a 0 804 9443
a 0 814 69891
a 0 817 38861
a 0 821 46311
a 0 840 949
a 0 849 33616
a 0 853 40296
a 0 858 6205
a 0 860 16240
a 0 866 41338
a 0 870 26132
a 0 874 3597
a 0 886 22721
a 0 887 969
a 0 892 44840
a 0 894 13537
a 0 896 51454
a 0 898 229
a 0 906 50747
a 0 907 4589
a 0 908 36878
a 0 917 19786
a 0 931 8462
a 0 932 8723
a 0 949 3148
a 0 953 1574
a 0 959 8585
a 0 960 17217
a 0 962 19071
a 0 967 17088
a 0 968 21181
a 0 979 12059
a 0 984 71032
a 0 987 30886
a 0 990 51640
a 0 994 6075
a 0 998 23066
a 1 3 8407
a 1 10 2779
a 1 12 3749
a 1 23 10163
a 1 28 38015
a 1 30 174
a 1 36 2027
a 1 51 21579
a 1 53 17092
a 1 64 15595
a 1 76 11117
a 1 77 31451
a 1 83 1211
a 1 89 20711
a 1 97 2890
a 1 105 21721
a 1 111 41148
a 1 113 14722
a 1 117 1079
a 1 122 24202
a 1 125 1362
a 1 132 47693
a 1 137 399
a 1 139 1485
a 1 140 35791
a 1 145 161
a 1 150 40889
a 1 151 31001
a 1 160 42446
a 1 175 3620
a 1 195 1344
a 1 197 2254
a 1 207 33626
a 1 211 29147
a 1 215 13678
a 1 217 3109
a 1 224 7099
a 1 229 29383
a 1 231 15540
a 1 233 15937
a 1 235 9005
a 1 237 22104
a 1 246 11912
a 1 248 17355
a 1 250 1518
a 1 253 20057
a 1 262 6288
a 1 268 27526
a 1 277 19776
a 1 292 58840
a 1 303 12274
a 1 311 1254
a 1 318 37273
a 1 321 2732
a 1 327 9096
a 1 331 3877
a 1 349 26162
a 1 362 35933
a 1 364 4339
a 1 372 51552
a 1 375 2589
a 1 378 8839
a 1 387 9490
a 1 391 5731
a 1 392 16716
a 1 399 36
a 1 402 12157
a 1 404 1435
a 1 417 39949
a 1 423 24215
a 1 424 21984
a 1 430 39057
a 1 434 6044
a 1 437 23620
a 1 441 15648
a 1 454 36188
a 1 459 59194
a 1 474 450
a 1 475 4087
a 1 480 18616
a 1 492 29053
a 1 493 9694
a 1 496 20538
a 1 500 23647
a 1 501 11514
a 1 515 19158
a 1 538 35107
a 1 546 25265
a 1 552 18462
a 1 553 27300
a 1 560 48159
a 1 565 8446
a 1 570 7581
a 1 578 27449
a 1 582 18524
