c Example graph converted from input format to desired format
p sp 1000 149544
a 0 74 4933
a 0 123 4050
a 0 235 458
a 0 258 876
a 0 278 344
a 0 403 1003
a 0 415 3875
a 0 438 1472
a 0 454 2896
a 0 498 434
a 0 555 149
a 0 576 15
a 0 614 1864
a 0 661 4581
a 0 713 1402
a 0 784 1006
a 0 832 2162
a 0 883 1043
a 0 899 788
a 0 940 1250
a 1 6 17415
a 1 11 20711
a 1 16 11648
a 1 21 48497
a 1 58 6842
a 1 63 38408
a 1 68 7733
a 1 69 10326
a 1 73 11533
a 1 75 2227
a 1 82 1305
a 1 86 11
a 1 93 43
a 1 106 8510
a 1 122 37575
a 1 123 28775
a 1 135 15966
a 1 136 1536
a 1 145 9907
a 1 146 15978
a 1 151 13025
a 1 152 13009
a 1 159 9938
a 1 160 5327
a 1 170 9766
a 1 175 514
a 1 190 35718
a 1 203 25003
a 1 213 24593
a 1 214 718
a 1 237 54146
a 1 240 12155
a 1 247 28961
a 1 254 4477
a 1 255 1145
a 1 257 15000
a 1 270 3843
a 1 271 19745
a 1 278 60157
a 1 279 3587
a 1 284 11160
a 1 303 10970
a 1 310 18431
a 1 315 15840
a 1 320 3614
a 1 330 30375
a 1 360 4734
a 1 365 6584
a 1 369 8442
a 1 372 45424
a 1 373 68008
a 1 376 29421
a 1 379 4152
a 1 380 3013
a 1 385 9559
a 1 386 24
a 1 389 14859
a 1 406 37204
a 1 407 12608
a 1 408 4136
a 1 411 20836
a 1 420 25768
a 1 425 89
a 1 442 16650
a 1 479 19864
a 1 480 9619
a 1 484 6408
a 1 498 33758
a 1 500 14114
a 1 502 60089
a 1 510 32791
a 1 512 15844
a 1 527 9219
a 1 538 24821
a 1 543 2339
a 1 545 20050
a 1 549 9505
a 1 553 35920
a 1 562 35360
a 1 580 7942
a 1 583 25375
a 1 585 19607
a 1 586 3431
a 1 588 26520
a 1 590 12007
a 1 603 3545
a 1 607 3989
a 1 614 18069
a 1 622 21309
a 1 625 24782
a 1 628 67184
a 1 641 5008
a 1 642 2036
a 1 644 36820
a 1 658 25580
a 1 665 8383
a 1 680 6809
a 1 682 17719
a 1 695 41564
a 1 705 12017
a 1 708 37150
a 1 721 13905
a 1 725 677
a 1 726 17644
a 1 731 2945
a 1 750 7195
a 1 762 1279
a 1 769 969
a 1 779 966
a 1 802 63793
a 1 816 50380
a 1 819 3307
a 1 820 18512
a 1 825 31047
a 1 829 6605
a 1 831 18846
a 1 834 6407
a 1 840 18305
a 1 843 2628
a 1 845 5898
a 1 848 815
a 1 856 677
a 1 863 18838
a 1 865 5853
a 1 867 291
a 1 868 18032
a 1 871 13377
a 1 873 30448
a 1 882 27560
a 1 883 5448
a 1 885 1769
a 1 890 26495
a 1 892 3970
a 1 895 21469
a 1 898 1890
a 1 899 39737
a 1 924 15427
a 1 927 32054
a 1 931 4787
a 1 933 56966
a 1 951 3069
a 1 966 41726
a 1 968 3085
a 1 975 707
a 1 983 16187
a 1 991 14953
a 2 0 56270
a 2 1 15664
a 2 15 46970
a 2 16 90162
a 2 27 10656
a 2 29 28299
a 2 32 51594
a 2 36 12782
a 2 45 15970
a 2 52 48128
a 2 58 74343
a 2 61 14576
a 2 63 28304
a 2 65 47269
a 2 68 11317
a 2 72 60230
a 2 75 11387
a 2 76 36021
a 2 80 3063
a 2 89 10388
a 2 96 5468
a 2 98 32463
a 2 107 16539
a 2 108 2271
a 2 110 3696
a 2 112 3503
a 2 113 23694
a 2 114 23876
a 2 115 5241
a 2 117 143
a 2 120 33839
a 2 128 16928
a 2 132 50063
a 2 134 13142
a 2 138 66549
a 2 139 46983
a 2 146 42399
a 2 148 32145
a 2 151 80343
a 2 152 64917
a 2 154 64517
a 2 160 12773
a 2 167 87843
a 2 170 61047
a 2 175 44084
a 2 185 48096
a 2 186 15478
a 2 190 22787
a 2 208 5089
a 2 211 1689
a 2 219 85004
a 2 222 72986
a 2 233 24071
a 2 234 397
a 2 235 34440
a 2 239 54724
a 2 242 511
a 2 243 97657
a 2 245 22692
a 2 246 69773
a 2 247 38334
a 2 254 36662
a 2 255 58079
a 2 256 9567
a 2 264 33420
a 2 268 62554
a 2 272 21719
a 2 284 57744
a 2 294 42593
a 2 295 3954
a 2 296 42165
a 2 304 8216
a 2 307 72044
a 2 308 38136
a 2 315 25508
a 2 321 19299
a 2 325 9669
a 2 329 34821
a 2 335 17810
a 2 336 9902
a 2 341 38076
a 2 345 4762
a 2 355 3157
a 2 356 35477
a 2 364 31737
a 2 365 40135
a 2 370 21668
a 2 376 29627
a 2 377 3008
a 2 379 34053
a 2 383 2834
a 2 384 102
a 2 385 64259
a 2 387 71948
a 2 395 19179
a 2 397 19006
a 2 398 24891
a 2 403 24430
a 2 408 92757
a 2 410 55804
a 2 429 10586
a 2 430 72679
a 2 431 16508
a 2 437 29517
a 2 439 38425
a 2 445 23385
a 2 453 52529
a 2 456 26754
a 2 460 1586
a 2 474 4614
a 2 475 80537
a 2 481 106568
a 2 483 7022
a 2 484 47992
a 2 485 16273
a 2 490 5247
a 2 492 49255
a 2 498 94995
a 2 499 11182
a 2 500 103633
a 2 504 1153
a 2 507 40781
a 2 508 26380
a 2 509 85134
a 2 518 1602
a 2 519 48103
a 2 523 53623
a 2 526 59702
a 2 530 74743
a 2 532 39873
a 2 533 9216
a 2 535 3394
a 2 536 16427
a 2 540 902
a 2 542 37975
a 2 543 2904
a 2 550 27128
a 2 552 49564
a 2 555 23036
a 2 557 25577
a 2 558 7227
a 2 561 3358
a 2 569 27588
a 2 570 15208
a 2 574 30733
a 2 583 31317
a 2 590 26312
a 2 603 28945
a 2 604 18
a 2 607 6600
a 2 609 54
a 2 610 1120
a 2 611 14675
a 2 616 13900
a 2 618 63417
a 2 620 1844
a 2 622 66478
a 2 624 4536
a 2 625 63646
a 2 628 52094
a 2 633 39302
a 2 635 2005
a 2 636 70043
a 2 639 16958
a 2 642 9990
a 2 643 88449
a 2 644 94891
a 2 645 5655
a 2 654 54933
a 2 666 81859
a 2 672 7717
a 2 673 2378
a 2 675 18778
a 2 681 57530
a 2 682 17428
a 2 683 33069
a 2 684 43179
a 2 685 7239
a 2 698 17317
a 2 712 14721
a 2 713 99152
a 2 714 14656
a 2 716 8753
a 2 720 44471
a 2 724 31267
a 2 731 39488
a 2 736 22532
a 2 746 27551
a 2 748 21380
a 2 754 24852
a 2 755 4846
a 2 760 14889
a 2 764 378
a 2 771 32779
a 2 775 26949
a 2 777 25886
a 2 779 65975
a 2 782 25949
a 2 787 9693
a 2 789 180
a 2 795 2289
a 2 797 9145
a 2 801 2128
a 2 803 8818
a 2 807 14459
a 2 809 7073
a 2 813 36192
a 2 814 49923
a 2 819 3969
a 2 824 9309
a 2 829 3463
a 2 834 21946
a 2 842 37946
a 2 852 33007
a 2 854 18971
a 2 863 85909
a 2 873 48160
a 2 877 23582
a 2 878 33904
a 2 880 40672
a 2 885 44435
a 2 887 42365
a 2 889 32762
a 2 890 5394
a 2 896 18624
a 2 897 12500
a 2 902 55911
a 2 905 38767
a 2 907 9070
a 2 912 28453
a 2 915 28339
a 2 918 3920
a 2 919 8914
a 2 921 4181
a 2 922 101825
a 2 925 11257
a 2 930 4425
a 2 931 51067
a 2 932 100098
a 2 936 104953
a 2 940 19498
a 2 968 49556
a 2 972 1932
a 2 974 13745
a 2 975 23820
a 2 977 8453
a 2 980 10308
a 2 982 7375
a 2 986 13193
a 2 987 18964
a 2 997 37095
a 2 998 1823
a 3 1 2759
a 3 14 15298
a 3 19 69894
a 3 27 13952
a 3 32 20116
a 3 33 16283
a 3 47 9640
a 3 50 16317
a 3 53 27281
a 3 55 39
a 3 64 544
a 3 65 9420
a 3 69 3809
a 3 70 2589
a 3 75 7237
a 3 79 1634
a 3 86 25802
a 3 87 31404
a 3 93 17113
a 3 94 6320
a 3 106 27716
a 3 119 10331
a 3 148 17805
a 3 152 10920
a 3 167 16116
a 3 170 10166
a 3 173 3573
a 3 176 19783
a 3 182 34748
a 3 183 10120
a 3 184 49220
a 3 193 11044
a 3 202 42972
a 3 205 1747
a 3 207 14860
a 3 208 15806
a 3 209 27084
a 3 214 8031
a 3 218 60461
a 3 224 760
a 3 226 17326
a 3 227 10412
a 3 237 9409
a 3 240 8384
a 3 242 12709
a 3 245 37653
a 3 246 38454
a 3 250 3113
a 3 255 8123
a 3 257 59074
a 3 263 12943
a 3 264 27510
a 3 270 10013
a 3 278 48868
a 3 279 14390
a 3 282 29314
a 3 291 60678
a 3 299 258
a 3 307 12727
a 3 308 70
a 3 312 13998
a 3 324 17
a 3 333 6976
a 3 343 48527
a 3 359 16165
a 3 360 78
a 3 369 3171
a 3 372 40407
a 3 379 17177
a 3 380 5250
a 3 386 4495
a 3 396 26890
a 3 397 1252
a 3 401 47382
a 3 403 10113
a 3 410 26089
a 3 414 17830
a 3 418 498
a 3 429 4172
a 3 430 19322
a 3 432 57639
a 3 438 61997
a 3 439 6660
a 3 440 13469
a 3 442 24900
a 3 446 19096
a 3 451 12785
a 3 452 26956
a 3 466 3223
a 3 470 32598
a 3 471 21700
a 3 474 56078
a 3 475 7413
a 3 494 5229
a 3 495 21384
a 3 497 8907
a 3 498 23212
a 3 503 17413
a 3 511 5620
a 3 512 66380
a 3 519 1082
a 3 523 28644
a 3 526 3770
a 3 528 37626
a 3 539 6255
a 3 553 63807
a 3 554 7949
a 3 555 61985
a 3 562 43122
a 3 563 54827
a 3 567 1793
a 3 571 27299
a 3 587 11470
a 3 594 9168
a 3 602 30640
a 3 614 25180
a 3 617 13893
a 3 618 41744
a 3 620 7965
a 3 625 32141
a 3 630 11326
a 3 632 55405
a 3 633 1408
a 3 643 33810
a 3 654 9803
a 3 658 24886
a 3 659 307
a 3 661 1430
a 3 665 38657
a 3 666 48692
a 3 671 43157
a 3 673 129
a 3 674 20184
a 3 682 3352
a 3 699 6018
a 3 706 207
a 3 707 47811
a 3 708 13486
a 3 713 28679
a 3 717 46224
a 3 719 40093
a 3 721 16029
a 3 725 5908
a 3 726 14165
a 3 728 2060
a 3 730 3281
a 3 741 50164
a 3 768 3510
a 3 777 26712
a 3 784 45855
a 3 788 19025
a 3 789 19742
a 3 797 3167
a 3 802 7391
a 3 813 1175
a 3 816 25639
a 3 819 4040
a 3 820 44460
a 3 831 2353
a 3 833 16653
a 3 834 9170
a 3 840 48294
a 3 842 19027
a 3 843 1295
a 3 855 2574
a 3 857 27850
a 3 860 1763
a 3 870 37226
a 3 874 3771
a 3 878 36156
a 3 881 737
a 3 882 3483
a 3 888 3960
a 3 890 3228
a 3 892 11522
a 3 893 40863
a 3 914 5469
a 3 915 9969
a 3 931 31439
a 3 933 34120
a 3 936 53637
a 3 945 11466
a 3 952 37525
a 3 955 466
a 3 959 3220
a 3 962 6570
a 3 965 21018
a 3 968 4788
a 3 969 30873
a 3 970 10473
a 3 975 3231
a 3 978 1963
a 3 979 63622
a 3 981 2559
a 4 3 25921
a 4 6 37087
a 4 8 19762
a 4 14 53358
a 4 16 74663
a 4 19 27912
a 4 29 10400
a 4 37 9944
a 4 38 1258
a 4 41 25379
a 4 44 9124
a 4 48 10520
a 4 50 17934
a 4 60 14717
a 4 66 64784
a 4 69 12454
a 4 77 87787
a 4 81 14401
a 4 82 10866
a 4 87 31344
a 4 89 13313
a 4 97 7793
a 4 101 28118
a 4 103 27233
a 4 111 39091
a 4 112 14
a 4 115 2530
a 4 118 8094
a 4 120 30728
a 4 121 2450
a 4 122 35462
a 4 123 41188
a 4 124 33566
a 4 126 34792
a 4 127 70020
a 4 134 13447
a 4 143 25940
a 4 144 63923
a 4 152 62275
a 4 156 61026
a 4 159 86297
a 4 160 8154
a 4 163 12882
a 4 175 20853
a 4 176 63353
a 4 178 7097
a 4 192 7701
a 4 193 11655
a 4 197 17087
a 4 201 14143
a 4 203 61694
a 4 213 48367
a 4 214 42261
a 4 215 45876
a 4 217 14514
a 4 224 28433
a 4 230 22247
a 4 231 6069
a 4 236 5548
a 4 237 48895
a 4 238 27257
a 4 242 51463
a 4 243 44247
a 4 247 88850
a 4 252 5166
a 4 254 39039
a 4 258 98186
a 4 259 96526
a 4 260 13558
a 4 261 67568
a 4 269 50520
a 4 271 19388
a 4 274 17571
a 4 278 35717
a 4 279 46568
a 4 281 29725
a 4 284 87347
a 4 293 5024
a 4 299 39632
a 4 300 99980
a 4 302 8593
a 4 303 21620
a 4 305 54896
a 4 309 6905
a 4 318 37800
a 4 319 2533
a 4 321 81557
a 4 326 483
a 4 332 3900
a 4 333 55578
a 4 334 2870
a 4 338 37157
a 4 347 4024
a 4 351 4918
a 4 352 6372
a 4 356 5691
a 4 367 6089
a 4 371 1241
a 4 373 73814
a 4 374 1534
a 4 381 2486
a 4 382 44971
a 4 385 43496
a 4 386 34929
a 4 389 57793
a 4 396 53097
a 4 401 68594
a 4 403 71004
a 4 404 426
a 4 422 20630
a 4 424 224
a 4 426 37024
a 4 427 43622
a 4 431 6683
a 4 434 2512
a 4 439 30628
a 4 446 23622
a 4 457 11022
a 4 463 14546
a 4 467 5238
a 4 469 9923
a 4 474 62140
a 4 477 26651
a 4 478 2705
a 4 482 34241
a 4 484 43129
a 4 488 65381
a 4 492 41974
a 4 495 11662
a 4 498 65071
a 4 499 194
a 4 500 39095
a 4 501 58308
a 4 502 112903
a 4 506 19714
a 4 508 96711
a 4 510 75192
a 4 516 27939
a 4 523 45905
a 4 524 24464
a 4 527 52994
a 4 530 13468
a 4 533 24647
a 4 536 15036
a 4 543 1331
a 4 544 22207
a 4 546 34686
a 4 547 19679
a 4 552 10380
a 4 553 89309
a 4 558 81906
a 4 566 3002
a 4 569 72775
a 4 573 179
a 4 579 15461
a 4 580 56725
a 4 583 89632
a 4 587 44038
a 4 588 101228
a 4 591 33323
a 4 597 7848
a 4 599 2885
a 4 602 35837
a 4 603 57811
a 4 606 21337
a 4 616 5703
a 4 621 14811
a 4 624 17412
a 4 628 53705
a 4 632 13976
a 4 634 3759
a 4 644 1043
a 4 645 5950
a 4 646 991
a 4 648 25599
a 4 655 57748
a 4 656 2042
a 4 658 76250
a 4 661 102479
a 4 663 49077
a 4 667 47166
a 4 672 6034
a 4 680 66160
a 4 685 20208
a 4 688 11169
a 4 693 6237
a 4 695 24339
a 4 699 24517
a 4 700 3534
a 4 703 16026
a 4 704 19054
a 4 705 69832
a 4 709 16031
a 4 711 14157
a 4 716 13762
a 4 720 27991
a 4 727 964
a 4 728 7083
a 4 733 5822
a 4 738 4052
a 4 742 72624
