c Example graph converted from input format to desired format
p sp 1000 99820
a 0 4 57446
a 0 18 11795
a 0 21 36040
a 0 28 6272
a 0 34 8937
a 0 38 3415
a 0 48 42166
a 0 53 49162
a 0 58 21738
a 0 66 53367
a 0 68 15008
a 0 71 76977
a 0 82 43167
a 0 83 15863
a 0 88 32170
a 0 94 27636
a 0 102 24649
a 0 105 8027
a 0 108 936
a 0 120 86863
a 0 123 34403
a 0 125 49558
a 0 127 80057
a 0 136 168
a 0 140 44622
a 0 141 9306
a 0 146 95329
a 0 147 3294
a 0 160 26388
a 0 167 19457
a 0 176 37936
a 0 178 80378
a 0 180 17390
a 0 185 80586
a 0 187 8203
a 0 191 25674
a 0 201 37070
a 0 221 10142
a 0 229 27626
a 0 239 34270
a 0 248 65998
a 0 250 1846
a 0 259 6491
a 0 260 37983
a 0 269 24813
a 0 271 39556
a 0 279 12550
a 0 284 82061
a 0 287 21895
a 0 288 709
a 0 291 58461
a 0 296 22184
a 0 298 21744
a 0 304 55799
a 0 306 5201
a 0 307 41017
a 0 311 70594
a 0 322 60694
a 0 323 20272
a 0 330 14891
a 0 342 82204
a 0 343 17127
a 0 344 8771
a 0 345 113464
a 0 350 31549
a 0 355 3861
a 0 363 71693
a 0 370 57896
a 0 371 7628
a 0 373 573
a 0 379 2791
a 0 386 71962
a 0 390 15828
a 0 393 66611
a 0 401 2305
a 0 406 68482
a 0 409 10789
a 0 418 2034
a 0 419 4840
a 0 420 7309
a 0 426 10921
a 0 437 61517
a 0 440 64517
a 0 446 14779
a 0 452 3072
a 0 453 12967
a 0 462 2050
a 0 465 7755
a 0 466 5676
a 0 469 35958
a 0 475 38250
a 0 490 1988
a 0 492 21938
a 0 496 94787
a 0 505 5595
a 0 512 24586
a 0 517 23328
a 0 533 2779
a 0 536 37495
a 0 537 936
a 0 541 68394
a 0 542 2316
a 0 543 23306
a 0 545 98293
a 0 547 22434
a 0 550 2062
a 0 552 26697
a 0 555 12039
a 0 557 10727
a 0 566 6946
a 0 568 8978
a 0 572 49520
a 0 574 15954
a 0 575 2923
a 0 579 39070
a 0 588 20448
a 0 590 30429
a 0 591 27348
a 0 602 6453
a 0 607 85571
a 0 633 85895
a 0 634 7684
a 0 637 40173
a 0 648 28836
a 0 652 25270
a 0 653 2800
a 0 668 40918
a 0 669 81405
a 0 672 38533
a 0 686 2134
a 0 692 44209
a 0 697 1954
a 0 712 17375
a 0 713 25184
a 0 717 5468
a 0 719 785
a 0 724 73846
a 0 726 53580
a 0 733 24684
a 0 736 46024
a 0 739 30589
a 0 740 9788
a 0 747 20996
a 0 751 8088
a 0 765 10182
a 0 766 51264
a 0 770 44487
a 0 773 58217
a 0 781 91
a 0 782 66933
a 0 785 62997
a 0 798 41483
a 0 799 30779
a 0 804 4557
a 0 808 15687
a 0 810 86383
a 0 816 37092
a 0 818 104339
a 0 826 38304
a 0 828 4881
a 0 845 53606
a 0 854 14591
a 0 863 23018
a 0 867 8230
a 0 874 18327
a 0 883 9882
a 0 884 23674
a 0 890 11286
a 0 897 17071
a 0 898 41590
a 0 901 17124
a 0 902 9616
a 0 915 26176
a 0 918 43104
a 0 922 16052
a 0 926 26059
a 0 934 16021
a 0 935 2309
a 0 958 90753
a 0 962 65225
a 0 966 26969
a 0 972 17830
a 0 973 5833
a 0 994 30437
a 0 999 44550
a 1 2 44
a 1 4 39950
a 1 14 22288
a 1 17 10879
a 1 20 12360
a 1 28 5536
a 1 37 36399
a 1 54 8169
a 1 55 9024
a 1 66 8929
a 1 70 11492
a 1 71 24067
a 1 72 53466
a 1 73 17139
a 1 82 33636
a 1 85 21418
a 1 86 24992
a 1 106 22356
a 1 108 1186
a 1 111 27922
a 1 120 80098
a 1 139 50603
a 1 159 20889
a 1 167 8819
a 1 168 69672
a 1 178 22643
a 1 179 14028
a 1 180 25354
a 1 182 1749
a 1 185 16802
a 1 197 7241
a 1 198 37388
a 1 202 30635
a 1 212 33245
a 1 214 10087
a 1 215 21000
a 1 218 3432
a 1 224 740
a 1 231 10991
a 1 232 25039
a 1 246 1887
a 1 247 145
a 1 254 35765
a 1 264 10763
a 1 268 14112
a 1 284 60692
a 1 285 21470
a 1 290 21251
a 1 299 25431
a 1 315 46001
a 1 320 71565
a 1 340 885
a 1 345 9334
a 1 353 16763
a 1 359 12870
a 1 366 2219
a 1 377 120
a 1 392 41307
a 1 408 20911
a 1 411 30432
a 1 419 39296
a 1 442 26856
a 1 443 67956
a 1 450 946
a 1 451 47334
a 1 460 6335
a 1 469 48612
a 1 489 2905
a 1 500 11936
a 1 503 25713
a 1 505 5515
a 1 508 927
a 1 511 65751
a 1 512 30736
a 1 513 32545
