c Example graph converted from input format to desired format
p sp 1000 150048
a 0 9 6065
a 0 18 36489
a 0 29 25463
a 0 33 5009
a 0 40 10603
a 0 48 13339
a 0 55 2407
a 0 62 5394
a 0 65 32616
a 0 68 2828
a 0 69 300
a 0 75 10951
a 0 78 5031
a 0 79 12533
a 0 84 9097
a 0 112 35829
a 0 116 11285
a 0 129 38435
a 0 150 32669
a 0 157 927
a 0 173 3927
a 0 198 8564
a 0 202 20597
a 0 204 11665
a 0 206 15170
a 0 212 25090
a 0 222 3765
a 0 234 13426
a 0 242 10350
a 0 259 27352
a 0 275 9433
a 0 276 8461
a 0 287 4398
a 0 306 11411
a 0 310 6308
a 0 314 10856
a 0 317 19959
a 0 319 32672
a 0 342 10756
a 0 351 9054
a 0 363 30860
a 0 364 2585
a 0 402 5933
a 0 404 3432
a 0 419 18239
a 0 428 9301
a 0 429 11178
a 0 448 23613
a 0 449 28464
a 0 460 1600
a 0 477 4459
a 0 486 33515
a 0 487 8934
a 0 492 14516
a 0 496 4754
a 0 497 9189
a 0 504 62
a 0 511 31062
a 0 517 1675
a 0 537 1530
a 0 539 786
a 0 540 17095
a 0 545 13106
a 0 554 3759
a 0 558 39833
a 0 566 18182
a 0 570 427
a 0 574 17688
a 0 607 1077
a 0 616 24962
a 0 629 1119
a 0 633 30363
a 0 638 21371
a 0 656 23813
a 0 670 34864
a 0 674 31330
a 0 688 33108
a 0 696 592
a 0 697 27114
a 0 700 30106
a 0 723 3260
a 0 727 5856
a 0 733 23086
a 0 741 9098
a 0 746 1203
a 0 747 14634
a 0 753 630
a 0 757 6784
a 0 764 1695
a 0 766 14937
a 0 769 6122
a 0 772 783
a 0 782 16738
a 0 785 26578
a 0 787 5849
a 0 807 7797
a 0 825 398
a 0 830 8779
a 0 833 9896
a 0 834 30778
a 0 859 13660
a 0 874 30643
a 0 887 23778
a 0 893 470
a 0 899 16910
a 0 918 16707
a 0 922 13268
a 0 935 1985
a 0 949 4244
a 0 954 18788
a 0 966 4080
a 0 967 5553
a 0 972 31652
a 0 978 19223
a 0 981 6389
a 0 982 21107
a 0 985 7020
a 0 992 1713
a 1 7 39567
a 1 8 19517
a 1 9 47836
a 1 10 7585
a 1 13 91377
a 1 16 8685
a 1 25 34610
a 1 28 26592
a 1 29 41704
a 1 33 42616
a 1 35 13299
a 1 36 5666
a 1 37 42933
a 1 41 61024
a 1 67 16750
a 1 71 59514
a 1 72 40834
a 1 74 52363
a 1 75 44858
a 1 78 60349
a 1 85 5264
a 1 86 22953
a 1 90 1268
a 1 94 9646
a 1 104 20842
a 1 106 40777
a 1 107 28490
a 1 109 48130
a 1 111 5991
a 1 112 19161
a 1 117 41642
a 1 119 14371
a 1 120 10611
a 1 124 15519
a 1 125 1086
a 1 126 26666
a 1 130 5779
a 1 133 27175
a 1 134 1576
a 1 139 27993
a 1 144 7839
a 1 150 74258
a 1 152 5383
a 1 153 7635
a 1 154 8678
a 1 157 9128
a 1 168 1413
a 1 169 5273
a 1 173 25729
a 1 180 27940
a 1 181 7661
a 1 182 14819
a 1 183 33838
a 1 186 17341
a 1 188 47952
a 1 189 72391
a 1 190 24803
a 1 201 12393
a 1 203 3589
a 1 210 1875
a 1 211 5134
a 1 218 23175
a 1 221 5269
a 1 222 877
a 1 234 41696
a 1 235 12027
a 1 252 37250
a 1 253 38120
a 1 257 83862
a 1 270 7806
a 1 275 16585
a 1 277 6108
a 1 278 29645
a 1 285 17324
a 1 286 21558
a 1 292 13390
a 1 293 74
a 1 298 14417
a 1 312 47212
a 1 315 26684
a 1 319 99855
a 1 320 41213
a 1 324 2205
a 1 328 47042
a 1 339 14965
a 1 342 43609
a 1 346 7070
a 1 348 11717
a 1 351 3793
a 1 353 3798
a 1 360 33527
a 1 364 4164
a 1 367 13556
a 1 372 9371
a 1 376 2410
a 1 380 49919
a 1 389 21049
a 1 395 19759
a 1 398 369
a 1 400 12404
a 1 402 51312
a 1 403 50704
a 1 404 55216
a 1 411 28404
a 1 415 11267
a 1 417 9157
a 1 418 3830
a 1 421 5651
a 1 424 14247
a 1 432 12630
a 1 447 22173
a 1 450 6821
a 1 451 37174
a 1 457 54048
a 1 460 65838
a 1 461 74
a 1 465 4352
a 1 469 29890
a 1 472 2100
a 1 480 7823
a 1 484 12103
a 1 487 20053
a 1 494 21744
a 1 496 46329
a 1 500 60
a 1 504 17391
a 1 511 66940
a 1 514 20827
a 1 516 16729
a 1 520 44476
a 1 537 11
a 1 551 7541
a 1 564 21155
a 1 566 61134
a 1 578 46178
a 1 586 2295
a 1 594 15434
a 1 600 54503
a 1 601 17486
a 1 603 4176
a 1 614 13698
a 1 617 18618
a 1 620 48268
a 1 621 3776
a 1 632 14218
a 1 639 20899
a 1 643 1509
a 1 656 88241
a 1 662 85315
a 1 667 57014
a 1 671 4332
a 1 689 12136
a 1 695 38081
a 1 705 23159
a 1 716 5927
a 1 721 4850
a 1 723 60930
a 1 735 13445
a 1 737 71645
a 1 738 84
a 1 741 27361
a 1 744 2424
a 1 747 71855
a 1 748 48940
a 1 750 24721
a 1 754 42643
a 1 756 703
a 1 761 13978
a 1 766 22070
a 1 772 49554
a 1 785 89095
a 1 790 78068
a 1 796 2494
a 1 798 37257
a 1 800 14206
a 1 818 16112
a 1 821 4987
a 1 824 63297
a 1 830 64133
a 1 834 79500
a 1 837 25477
a 1 838 14942
a 1 840 6906
a 1 844 3763
a 1 852 36551
a 1 857 2455
a 1 862 36726
a 1 863 3507
a 1 865 23911
a 1 876 788
a 1 877 11471
a 1 882 55975
a 1 888 7978
a 1 902 5224
a 1 908 1106
a 1 909 296
a 1 914 16190
a 1 915 12564
a 1 918 2091
a 1 924 41026
a 1 926 40886
a 1 928 8250
a 1 931 21154
a 1 934 35754
a 1 936 40462
a 1 939 568
a 1 941 15963
a 1 942 41797
a 1 944 3702
a 1 946 1711
a 1 949 76244
a 1 953 67790
a 1 959 35142
a 1 962 24045
a 1 966 42484
a 1 967 60671
a 1 969 15764
a 1 981 30125
a 1 984 24632
a 1 989 20762
a 2 7 17273
a 2 15 5423
a 2 20 17503
a 2 23 19130
a 2 25 550
a 2 27 26113
a 2 29 28863
a 2 32 76
a 2 35 46818
a 2 38 14462
a 2 39 5518
a 2 42 14028
a 2 43 47927
a 2 44 6666
a 2 46 9181
a 2 50 839
a 2 55 56093
a 2 60 48672
a 2 68 19118
a 2 70 1777
a 2 74 64125
a 2 88 3924
a 2 94 3963
a 2 95 18337
a 2 99 6492
a 2 104 2609
a 2 105 102094
a 2 107 44198
a 2 108 1185
a 2 109 41385
a 2 112 100664
a 2 118 64265
a 2 121 1676
a 2 124 56084
a 2 127 79450
a 2 130 116219
a 2 131 96010
a 2 136 72278
a 2 142 71977
a 2 143 41408
a 2 144 21585
a 2 147 20768
a 2 149 5428
a 2 151 8593
a 2 153 41217
a 2 158 43806
a 2 159 63364
a 2 160 36672
a 2 162 27395
a 2 164 27733
a 2 165 38567
a 2 166 5978
a 2 170 18302
a 2 179 38399
a 2 181 3576
a 2 182 85722
a 2 183 3888
a 2 185 65546
a 2 187 97191
a 2 191 19618
a 2 192 25027
a 2 197 13262
a 2 200 926
a 2 202 22400
a 2 206 85566
a 2 215 25986
a 2 230 5875
a 2 242 67707
a 2 252 13336
a 2 256 41460
a 2 257 93700
a 2 258 11225
a 2 259 88888
a 2 261 15424
a 2 266 5364
a 2 269 64287
a 2 270 45294
a 2 273 24997
a 2 279 5772
a 2 282 101
a 2 283 4892
a 2 287 52722
a 2 289 4505
a 2 292 10501
a 2 295 65861
a 2 298 42473
a 2 300 23521
a 2 302 15189
a 2 307 92009
a 2 308 47527
a 2 312 50136
a 2 325 105204
a 2 329 19131
a 2 336 8450
a 2 339 10325
a 2 344 28967
a 2 349 55144
a 2 354 22498
a 2 360 6966
a 2 362 88935
a 2 363 113265
a 2 367 31356
a 2 374 25600
a 2 376 10061
a 2 383 40481
a 2 385 43524
a 2 408 32737
a 2 418 1294
a 2 423 71756
a 2 426 1461
a 2 429 38850
a 2 431 63442
a 2 436 42403
a 2 442 58064
a 2 443 78148
a 2 444 72464
a 2 446 22043
a 2 448 100229
a 2 450 29654
a 2 456 51832
a 2 462 31107
a 2 466 18939
a 2 480 14514
a 2 481 67132
a 2 483 1127
a 2 489 46332
a 2 497 41939
a 2 501 84140
a 2 509 568
a 2 513 7000
a 2 514 76811
a 2 519 30309
a 2 526 67401
a 2 534 345
a 2 540 13611
a 2 542 96678
a 2 543 229
a 2 547 770
a 2 550 2419
a 2 551 55290
a 2 556 55697
a 2 570 2474
a 2 573 10710
a 2 575 22178
a 2 579 48116
a 2 583 58486
a 2 584 49039
a 2 589 31634
a 2 595 67383
a 2 597 788
a 2 599 38607
a 2 608 26735
a 2 625 29925
a 2 626 2869
a 2 627 9449
a 2 629 71485
a 2 637 7783
a 2 646 21640
a 2 650 61142
a 2 659 67133
a 2 662 109435
a 2 670 108355
a 2 671 18247
a 2 672 5198
a 2 675 8088
a 2 678 46676
a 2 680 15825
a 2 686 5834
