c Example graph converted from input format to desired format
p sp 1000 249977
a 0 4 9388
a 0 6 28156
a 0 9 34495
a 0 12 645
a 0 13 38451
a 0 14 17786
a 0 18 19458
a 0 19 17886
a 0 26 21834
a 0 27 7013
a 0 34 49217
a 0 36 41853
a 0 42 11380
a 0 44 25717
a 0 52 552
a 0 54 70923
a 0 60 16121
a 0 62 3241
a 0 63 9193
a 0 64 5104
a 0 66 2572
a 0 70 569
a 0 71 592
a 0 72 5848
a 0 79 29356
a 0 80 66796
a 0 82 60138
a 0 83 27963
a 0 98 5087
a 0 104 28154
a 0 111 19060
a 0 112 14483
a 0 113 32151
a 0 117 9013
a 0 119 17848
a 0 120 49728
a 0 124 471
a 0 129 4289
a 0 132 31192
a 0 135 1595
a 0 137 50878
a 0 139 1101
a 0 141 16016
a 0 142 7304
a 0 145 60180
a 0 148 35286
a 0 151 20044
a 0 154 15277
a 0 159 11055
a 0 165 12327
a 0 168 1528
a 0 171 1986
a 0 175 3454
a 0 180 4151
a 0 185 4051
a 0 199 21056
a 0 202 1375
a 0 206 38165
a 0 208 57732
a 0 212 19896
a 0 215 17908
a 0 220 32431
a 0 221 267
a 0 222 11970
a 0 223 18925
a 0 224 59711
a 0 225 7694
a 0 227 11959
a 0 231 30083
a 0 232 48617
a 0 234 5641
a 0 235 48519
a 0 236 5624
a 0 242 12115
a 0 243 15851
a 0 244 16099
a 0 248 820
a 0 250 6639
a 0 256 11388
a 0 263 34043
a 0 270 32970
a 0 271 43502
a 0 273 26747
a 0 274 18487
a 0 275 44364
a 0 278 6996
a 0 282 639
a 0 284 7993
a 0 287 3866
a 0 290 34234
a 0 296 15345
a 0 299 3270
a 0 302 812
a 0 308 18369
a 0 309 5844
a 0 312 8437
a 0 313 34385
a 0 326 54555
a 0 329 7220
a 0 332 55452
a 0 345 918
a 0 347 13685
a 0 348 2343
a 0 356 236
a 0 357 46552
a 0 363 1326
a 0 365 39070
a 0 370 43
a 0 378 47163
a 0 381 1413
a 0 386 13227
a 0 394 525
a 0 409 374
a 0 418 392
a 0 421 39362
