c Example graph converted from input format to desired format
p sp 1000 99714
a 0 1 40106
a 0 5 59937
a 0 9 1759
a 0 12 40935
a 0 13 27398
a 0 15 7500
a 0 16 22708
a 0 24 30741
a 0 28 15608
a 0 32 27114
a 0 33 22010
a 0 44 20134
a 0 59 19437
a 0 62 6716
a 0 66 1045
a 0 68 531
a 0 75 7163
a 0 76 51090
a 0 83 4458
a 0 84 4506
a 0 91 3882
a 0 92 24312
a 0 93 3592
a 0 94 234
a 0 97 5777
a 0 104 29355
a 0 114 71045
a 0 120 6348
a 0 122 58695
a 0 123 15148
a 0 126 37100
a 0 133 1835
a 0 141 43410
a 0 144 17286
a 0 150 7516
a 0 153 66673
a 0 163 24624
a 0 164 33080
a 0 167 9573
a 0 169 6596
a 0 174 904
a 0 186 50942
a 0 196 2284
a 0 217 62101
a 0 221 8997
a 0 226 19199
a 0 241 7444
a 0 251 4299
a 0 252 703
a 0 255 62993
a 0 262 20159
a 0 278 67624
a 0 280 32251
a 0 282 48161
a 0 288 29229
a 0 291 14500
a 0 293 3875
a 0 319 23369
a 0 321 87157
a 0 323 66220
a 0 342 542
a 0 344 71144
a 0 349 7264
a 0 357 11392
a 0 366 13607
a 0 374 47828
a 0 378 43696
a 0 383 81397
a 0 396 39929
a 0 421 57165
a 0 438 3851
a 0 449 16297
a 0 452 8469
a 0 454 12542
a 0 456 18423
a 0 463 28814
a 0 470 5763
a 0 475 10815
a 0 488 33751
a 0 489 24648
a 0 493 59405
a 0 499 1884
a 0 500 939
a 0 513 1445
a 0 514 59304
a 0 516 11129
a 0 521 24915
a 0 532 49374
a 0 540 47733
a 0 542 5757
a 0 550 23153
a 0 566 6006
a 0 578 30576
a 0 582 21060
a 0 586 158
a 0 589 23081
a 0 595 38462
a 0 596 54545
a 0 601 53049
a 0 607 4442
a 0 614 253
a 0 625 42561
a 0 629 22688
a 0 636 3118
a 0 637 3353
a 0 638 20887
a 0 643 7582
a 0 650 18117
a 0 651 3621
a 0 655 13553
a 0 659 49240
a 0 663 8407
a 0 665 17704
a 0 669 8092
a 0 671 12063
a 0 677 414
a 0 686 10657
a 0 698 2541
a 0 707 13553
a 0 711 95196
a 0 717 6582
a 0 718 16452
a 0 722 26846
a 0 743 363
a 0 746 15077
a 0 758 20343
a 0 776 23101
a 0 783 61728
a 0 801 72564
a 0 803 9734
a 0 808 68089
a 0 812 3474
a 0 814 6324
a 0 845 26184
a 0 846 17823
a 0 853 16131
a 0 859 75033
a 0 861 31468
a 0 862 4702
a 0 875 16969
a 0 879 14866
a 0 880 5080
a 0 883 26382
a 0 888 14009
a 0 899 3537
a 0 903 5301
a 0 914 6405
a 0 918 66218
a 0 921 40324
a 0 925 13489
a 0 934 53056
a 0 937 21151
a 0 949 19220
a 0 951 51983
a 0 955 84626
a 0 961 9239
a 0 964 42667
a 0 969 16465
a 0 970 26155
a 0 980 37882
a 0 983 32218
a 0 995 36714
a 1 17 1174
a 1 43 32481
a 1 53 1613
a 1 64 10266
a 1 74 2616
a 1 85 1692
a 1 90 45781
a 1 91 4353
a 1 143 3900
a 1 153 25403
a 1 154 16434
a 1 155 984
a 1 164 14
a 1 176 18806
a 1 181 6890
a 1 190 2455
a 1 196 14625
a 1 203 546
a 1 217 9136
a 1 218 8000
a 1 251 12702
a 1 271 4205
a 1 327 20526
a 1 331 4900
a 1 338 28248
a 1 351 32519
a 1 366 6304
a 1 382 10347
a 1 396 4448
a 1 399 2945
a 1 410 18589
a 1 425 26365
a 1 442 1660
a 1 443 13232
a 1 459 20939
a 1 462 20411
a 1 463 1894
a 1 473 22705
a 1 481 9133
a 1 493 16323
a 1 500 97
a 1 512 8142
a 1 537 11692
a 1 583 10458
a 1 597 14726
a 1 598 83
a 1 600 5487
a 1 603 2188
a 1 617 12798
a 1 645 4179
a 1 650 15043
a 1 651 2723
a 1 652 17111
a 1 654 18048
a 1 656 369
a 1 658 5283
a 1 686 22945
a 1 723 19
a 1 724 10402
a 1 767 8865
a 1 771 17491
a 1 794 5456
a 1 801 11876
a 1 804 13346
a 1 818 14
a 1 819 17111
a 1 841 6847
a 1 845 177
a 1 860 6846
a 1 932 8663
a 1 934 30297
a 1 935 2710
a 1 942 2575
a 1 945 6942
a 1 946 3005
a 1 968 10674
a 1 986 9210
a 1 995 864
a 1 998 24709
a 2 22 7607
a 2 117 10292
a 2 154 1088
a 2 180 1969
a 2 257 2845
a 2 282 2513
a 2 297 4405
a 2 338 1578
a 2 340 1410
a 2 350 9999
a 2 464 4072
a 2 498 9777
a 2 516 5440
a 2 520 12092
a 2 595 10920
a 2 651 12783
a 2 680 1643
a 2 711 13384
a 2 764 8843
a 2 789 18692
a 2 806 17689
a 2 836 2112
a 2 846 2546
a 2 859 3421
a 2 874 3894
a 2 910 6823
a 2 970 126
