c Example graph converted from input format to desired format
p sp 1000 200120
a 0 4 57864
a 0 5 27
a 0 10 25046
a 0 13 18849
a 0 15 64180
a 0 16 5204
a 0 18 12969
a 0 19 73189
a 0 21 31438
a 0 22 9985
a 0 23 25484
a 0 24 618
a 0 25 54911
a 0 28 110236
a 0 31 3064
a 0 32 41558
a 0 34 39981
a 0 38 12328
a 0 42 41339
a 0 45 26092
a 0 46 23762
a 0 47 87385
a 0 48 31504
a 0 49 73324
a 0 50 7768
a 0 52 71304
a 0 53 12689
a 0 57 17829
a 0 60 11015
a 0 61 47250
a 0 63 42221
a 0 65 4969
a 0 67 76104
a 0 70 88256
a 0 74 101248
a 0 75 42542
a 0 81 8386
a 0 83 471
a 0 85 481
a 0 88 90644
a 0 89 11771
a 0 90 5482
a 0 94 30269
a 0 96 7346
a 0 97 36510
a 0 98 4907
a 0 99 4590
a 0 100 53553
a 0 101 60073
a 0 107 73610
a 0 109 15561
a 0 112 62077
a 0 113 9657
a 0 115 15074
a 0 118 4483
a 0 122 32745
a 0 129 83225
a 0 134 77406
a 0 135 25696
a 0 138 60423
a 0 139 4380
a 0 141 6545
a 0 143 84083
a 0 145 13238
a 0 147 1510
a 0 148 5903
a 0 149 5970
a 0 150 4763
a 0 155 83759
a 0 156 19546
a 0 158 2781
a 0 162 41129
a 0 167 4501
a 0 169 64994
a 0 171 105640
a 0 174 641
a 0 176 75579
a 0 178 233
a 0 181 64859
a 0 182 2585
a 0 186 3652
a 0 189 13098
a 0 191 18604
a 0 192 105785
a 0 194 20233
a 0 195 26956
a 0 200 14467
a 0 201 16869
a 0 202 44860
a 0 207 1536
a 0 209 32198
a 0 211 5089
a 0 213 38293
a 0 214 19048
a 0 217 57279
a 0 223 38052
a 0 225 3114
a 0 230 1126
a 0 234 60319
a 0 237 83610
a 0 239 6870
a 0 241 53692
a 0 244 45605
a 0 246 24018
a 0 251 66499
a 0 256 31914
a 0 258 2812
a 0 261 91201
a 0 265 1097
a 0 266 31225
a 0 269 5393
a 0 274 18505
a 0 278 57337
a 0 280 25170
a 0 287 13847
a 0 291 35658
a 0 292 35999
a 0 294 12398
a 0 298 35788
a 0 306 15880
a 0 307 94690
a 0 308 16343
a 0 310 18993
a 0 311 8949
a 0 313 60553
a 0 314 1798
a 0 316 87054
a 0 320 83529
a 0 322 61020
a 0 323 46120
a 0 324 20111
a 0 325 12792
a 0 327 45757
a 0 329 4719
a 0 332 4530
a 0 333 16279
a 0 335 7235
a 0 352 63178
a 0 355 693
a 0 359 80394
a 0 366 98505
a 0 367 1267
a 0 371 18035
a 0 373 78186
a 0 375 47169
a 0 383 1312
a 0 384 44102
a 0 389 29094
a 0 390 72624
a 0 391 38916
a 0 393 49139
a 0 394 43558
a 0 395 1954
a 0 397 1386
a 0 404 84866
a 0 405 16095
a 0 406 60306
a 0 409 92079
a 0 411 54986
a 0 414 79565
a 0 419 9072
a 0 420 14576
a 0 429 1393
a 0 430 55712
a 0 432 75007
a 0 433 12024
a 0 436 58107
a 0 438 1224
a 0 439 30325
a 0 443 9605
a 0 444 25390
a 0 445 50552
a 0 446 4439
a 0 448 3272
a 0 453 12713
a 0 455 10005
a 0 456 31
a 0 458 4072
a 0 462 7125
a 0 471 19538
a 0 473 20492
a 0 474 48512
a 0 477 65962
a 0 478 46741
a 0 479 5479
a 0 483 79
a 0 492 16596
a 0 494 36227
a 0 496 5259
a 0 497 17457
a 0 501 6043
a 0 502 17713
a 0 505 59690
a 0 506 5540
a 0 507 104637
a 0 509 13310
a 0 510 44151
a 0 514 7532
a 0 516 46
a 0 525 13829
a 0 527 25785
a 0 535 32745
a 0 537 40233
a 0 542 6805
a 0 544 5714
a 0 546 1807
a 0 547 59995
a 0 552 48393
a 0 553 88895
a 0 558 32989
a 0 559 22761
a 0 561 33594
a 0 562 49272
a 0 563 6072
a 0 564 28843
a 0 569 73829
a 0 582 3539
a 0 584 21137
a 0 586 63096
a 0 587 60994
a 0 588 82180
a 0 592 66317
a 0 596 66292
a 0 598 26358
a 0 603 88767
a 0 604 13734
a 0 605 65244
a 0 611 36593
a 0 613 33035
a 0 617 75002
a 0 620 812
a 0 621 69023
a 0 629 51261
a 0 630 17139
a 0 631 26405
a 0 632 72364
a 0 634 5338
a 0 636 22188
a 0 637 77924
a 0 639 13148
a 0 649 8113
a 0 651 85716
a 0 652 358
a 0 654 44323
a 0 655 71418
a 0 657 25327
a 0 658 55228
a 0 659 2703
a 0 660 25173
a 0 664 43843
a 0 666 108741
a 0 667 5266
a 0 669 15874
a 0 673 244
a 0 674 77031
a 0 681 2420
a 0 682 389
a 0 684 30694
a 0 688 2635
a 0 689 46954
a 0 690 2819
a 0 694 40267
a 0 696 169
a 0 697 1069
a 0 701 40683
a 0 708 26696
a 0 718 9498
a 0 722 72574
a 0 724 84540
a 0 725 32513
a 0 726 5495
a 0 728 15999
a 0 729 66167
a 0 732 26919
a 0 733 21061
a 0 734 26068
a 0 736 24249
a 0 738 4445
a 0 740 23693
a 0 743 41251
a 0 746 3763
a 0 748 3708
a 0 750 2985
a 0 751 21444
a 0 759 17315
a 0 761 10982
a 0 762 72414
a 0 765 58369
a 0 767 45702
a 0 768 9499
a 0 773 64551
a 0 774 23191
a 0 777 5579
a 0 779 16660
a 0 780 59390
a 0 781 355
a 0 782 1583
a 0 784 635
a 0 785 10250
a 0 787 665
a 0 789 79501
a 0 790 61515
a 0 791 44543
a 0 792 66262
a 0 793 56444
a 0 794 52422
a 0 796 110741
a 0 800 38942
a 0 805 97485
a 0 807 20107
a 0 808 5276
a 0 812 5138
a 0 813 75190
a 0 814 5744
a 0 815 78273
a 0 817 29319
a 0 818 11985
a 0 820 12895
a 0 821 7309
a 0 822 4132
a 0 825 21300
a 0 830 6488
a 0 831 39986
a 0 832 2256
a 0 833 17971
a 0 835 45886
a 0 836 60764
a 0 837 16838
a 0 838 87827
a 0 840 43564
a 0 842 11734
a 0 845 45001
