c Example graph converted from input format to desired format
p sp 1000 200168
a 0 101 860
a 0 125 661
a 0 133 166
a 0 247 1798
a 0 287 1133
a 0 301 1470
a 0 389 1308
a 0 420 2196
a 0 487 82
a 0 500 235
a 0 517 1897
a 0 553 318
a 0 623 1085
a 0 705 1920
a 0 715 2325
a 0 738 234
a 0 771 97
a 0 988 1194
a 0 998 2828
a 1 0 9738
a 1 4 26625
a 1 7 678
a 1 8 15280
a 1 9 43454
a 1 13 8708
a 1 15 30553
a 1 17 39334
a 1 18 19072
a 1 21 37657
a 1 27 18007
a 1 33 3821
a 1 39 26
a 1 50 31227
a 1 53 70158
a 1 56 8098
a 1 58 40111
a 1 64 38308
a 1 68 50268
a 1 72 24768
a 1 81 27047
a 1 85 12634
a 1 88 434
a 1 91 23121
a 1 100 28293
a 1 101 5379
a 1 106 29380
a 1 110 272
a 1 117 17396
a 1 118 60530
a 1 125 23179
a 1 129 7542
a 1 130 23823
a 1 133 2632
a 1 134 14043
a 1 137 29012
a 1 139 11815
a 1 140 33316
a 1 141 15776
a 1 149 24194
a 1 154 13412
a 1 156 11150
a 1 163 2808
a 1 164 49
a 1 170 25015
a 1 179 18189
a 1 180 3070
a 1 189 3482
a 1 191 31531
a 1 193 21689
a 1 207 14212
a 1 228 33281
a 1 229 9353
a 1 230 2190
a 1 233 57143
a 1 237 10868
a 1 239 8758
a 1 241 42775
a 1 243 2364
a 1 251 27410
a 1 253 33
a 1 258 19904
a 1 262 45785
a 1 264 1078
a 1 268 742
a 1 274 9997
a 1 277 6627
a 1 280 64923
a 1 281 22034
a 1 287 18911
a 1 292 57680
a 1 293 2670
a 1 296 497
a 1 301 73888
a 1 310 2185
a 1 311 31934
a 1 313 61747
a 1 317 22478
a 1 323 26024
a 1 324 23652
a 1 327 14438
a 1 328 2009
a 1 330 67906
a 1 332 25295
a 1 339 16519
a 1 340 36389
a 1 341 9285
a 1 343 2245
a 1 352 40908
a 1 361 3063
a 1 362 4046
a 1 365 147
a 1 369 7194
a 1 373 9658
a 1 374 41901
a 1 377 5325
a 1 378 4955
a 1 384 19835
a 1 386 11457
a 1 387 3884
a 1 389 34681
a 1 390 13763
a 1 391 57051
a 1 392 13921
a 1 402 49978
a 1 406 157
a 1 426 5715
a 1 438 2870
a 1 442 22273
a 1 443 35482
a 1 445 45760
a 1 447 59412
a 1 450 41383
a 1 452 536
a 1 456 30613
a 1 457 40896
a 1 458 33049
a 1 459 16591
a 1 461 6764
a 1 466 1060
a 1 474 158
a 1 475 5866
a 1 476 15452
a 1 478 715
a 1 479 17537
a 1 480 10864
a 1 482 52917
a 1 487 23588
a 1 489 2167
a 1 490 39159
a 1 491 15537
a 1 495 33558
a 1 503 74254
a 1 506 722
a 1 510 63907
a 1 519 17786
a 1 523 8033
a 1 524 6879
a 1 526 64264
a 1 530 39779
a 1 540 61530
a 1 546 28227
a 1 547 18565
a 1 553 4785
a 1 554 6289
a 1 560 3185
a 1 564 5826
a 1 568 10048
a 1 579 771
a 1 595 18542
a 1 597 37529
a 1 599 9585
a 1 602 4101
a 1 605 10867
a 1 606 21466
a 1 611 15547
a 1 612 18943
a 1 628 7623
a 1 640 19973
a 1 641 32670
a 1 642 3587
a 1 649 34453
a 1 658 50002
a 1 660 45544
a 1 667 189
a 1 671 6039
a 1 672 23299
a 1 674 5670
a 1 680 26543
a 1 689 57543
a 1 690 5626
a 1 693 3457
a 1 702 20677
a 1 703 753
a 1 705 82427
a 1 712 33852
a 1 714 17624
a 1 715 15720
a 1 718 47397
a 1 721 14596
a 1 722 22085
a 1 724 70102
a 1 730 15431
a 1 738 1991
a 1 740 49766
a 1 742 19454
a 1 746 32173
a 1 752 2833
a 1 759 3660
a 1 764 9054
a 1 768 3622
a 1 769 9679
a 1 772 60893
a 1 774 10470
a 1 777 66739
a 1 786 5247
a 1 787 995
a 1 789 29916
a 1 790 24675
a 1 791 211
a 1 797 25453
a 1 798 8585
a 1 801 257
a 1 802 7686
a 1 808 29143
a 1 809 7397
a 1 810 15616
a 1 817 3630
a 1 823 2373
a 1 827 20992
a 1 829 7231
a 1 832 52523
a 1 834 15809
a 1 836 32141
a 1 858 7351
a 1 859 15827
a 1 861 25560
a 1 862 4502
a 1 863 30242
a 1 867 18947
a 1 869 13497
a 1 871 2733
a 1 876 33990
a 1 881 31308
