c Example graph converted from input format to desired format
p sp 1000 49903
a 0 37 21155
a 0 60 7906
a 0 62 14917
a 0 98 2090
a 0 99 9431
a 0 102 14085
a 0 120 425
a 0 121 1301
a 0 165 15199
a 0 213 10313
a 0 217 27696
a 0 223 31421
a 0 257 14497
a 0 294 5143
a 0 323 5050
a 0 348 14732
a 0 372 6235
a 0 379 142
a 0 417 7949
a 0 420 10485
a 0 427 7743
a 0 460 20406
a 0 483 42382
a 0 513 36540
a 0 537 14580
a 0 553 2845
a 0 557 24005
a 0 588 38497
a 0 595 215
a 0 631 7760
a 0 643 40196
a 0 649 546
a 0 662 53502
a 0 705 9879
a 0 706 2635
a 0 714 8492
a 0 746 19795
a 0 747 472
a 0 762 21949
a 0 764 15503
a 0 786 23054
a 0 819 29703
a 0 860 543
a 0 889 35072
a 0 907 12046
a 0 931 26111
a 0 937 14872
a 0 942 8054
a 0 960 5873
a 1 2 11886
a 1 7 22650
a 1 29 17987
a 1 65 9263
a 1 76 17855
a 1 80 84828
a 1 95 60099
a 1 103 8571
a 1 106 1306
a 1 123 10164
a 1 130 1664
a 1 131 22812
a 1 188 15476
a 1 192 14358
a 1 197 3713
a 1 198 24767
a 1 212 830
a 1 234 11322
a 1 236 12030
a 1 243 49383
a 1 252 41655
a 1 254 13342
a 1 262 56183
a 1 285 21399
a 1 293 36361
a 1 300 576
a 1 301 2090
a 1 303 29056
a 1 325 54246
a 1 327 1022
a 1 334 16472
a 1 343 33645
a 1 360 62305
a 1 364 49902
a 1 379 10405
a 1 381 2454
a 1 394 181
a 1 490 80207
a 1 493 359
a 1 499 57001
a 1 528 2058
a 1 538 25923
a 1 541 90777
a 1 554 52069
a 1 562 20893
a 1 563 4916
a 1 570 9381
a 1 583 18548
a 1 602 40139
a 1 614 18939
a 1 621 69865
a 1 629 13121
a 1 631 49997
a 1 651 8706
a 1 661 10733
a 1 676 10906
a 1 680 20135
a 1 681 8792
a 1 685 16228
a 1 686 47415
a 1 688 8506
a 1 706 51417
a 1 727 99839
a 1 750 772
a 1 756 30076
a 1 764 3363
a 1 779 81293
a 1 796 59065
a 1 805 37642
a 1 806 4217
a 1 808 36876
a 1 815 25033
a 1 820 15079
a 1 824 2592
a 1 832 17619
a 1 837 21787
a 1 848 23784
a 1 849 19347
a 1 867 67148
a 1 875 29991
a 1 885 11416
a 1 891 3226
a 1 893 9799
a 1 916 7650
a 1 927 14874
a 1 959 42980
a 1 976 13214
a 1 993 3304
a 2 7 30449
a 2 45 41253
a 2 51 21849
a 2 52 21398
a 2 53 2277
a 2 55 55003
a 2 95 34290
a 2 146 350
a 2 182 7260
a 2 191 45157
a 2 193 10892
a 2 213 17699
a 2 234 6158
a 2 261 583
a 2 268 30870
a 2 278 21704
a 2 286 3446
a 2 288 4421
a 2 321 806
a 2 328 8424
a 2 350 42726
a 2 362 16655
a 2 371 19444
a 2 408 6435
a 2 458 5882
a 2 484 5390
a 2 501 3964
a 2 552 18818
a 2 553 2010
a 2 584 1694
a 2 608 48356
a 2 618 32106
a 2 623 253
a 2 637 29055
a 2 649 1213
a 2 665 3119
a 2 686 38958
a 2 696 16421
a 2 727 21823
a 2 730 7751
a 2 736 27621
a 2 747 26462
a 2 768 2653
a 2 796 49323
a 2 819 24348
a 2 823 52474
a 2 828 6682
a 2 839 35695
a 2 849 147
a 2 856 12336
a 2 860 28471
a 2 879 40682
a 2 901 3970
a 2 932 168
a 2 933 24325
a 2 959 22194
a 2 987 23387
a 3 37 6537
a 3 62 19662
a 3 143 14196
a 3 184 640
a 3 194 43944
a 3 203 7835
a 3 232 4805
a 3 381 6181
a 3 439 984
a 3 471 17087
a 3 526 41350
a 3 531 2994
a 3 536 12961
a 3 541 29663
a 3 557 25199
a 3 558 6832
a 3 613 41935
a 3 614 32755
a 3 621 21987
a 3 640 1131
a 3 686 5753
a 3 689 1925
a 3 700 25320
a 3 713 12065
a 3 714 9613
a 3 715 10924
a 3 727 32627
a 3 736 2005
a 3 748 1833
