c Example graph converted from input format to desired format
p sp 1000 199968
a 0 23 6831
a 0 79 592
a 0 100 190
a 0 146 374
a 0 159 371
a 0 164 3073
a 0 176 73
a 0 190 1232
a 0 251 354
a 0 258 5277
a 0 351 852
a 0 382 544
a 0 408 3079
a 0 504 3588
a 0 514 388
a 0 569 137
a 0 577 105
a 0 656 3076
a 0 684 6066
a 0 763 609
a 0 807 2538
a 0 921 5725
a 0 938 517
a 0 940 2382
a 0 950 378
a 0 953 5841
a 0 972 400
a 0 975 1963
a 0 976 1188
a 1 0 59249
a 1 2 88539
a 1 7 26791
a 1 10 17534
a 1 11 19229
a 1 12 45577
a 1 18 34279
a 1 23 8540
a 1 24 9105
a 1 25 22196
a 1 26 9173
a 1 32 21900
a 1 33 10644
a 1 34 33438
a 1 35 46860
a 1 36 23826
a 1 46 35866
a 1 50 51669
a 1 54 61720
a 1 56 2915
a 1 63 26554
a 1 67 33930
a 1 69 19683
a 1 73 20439
a 1 77 666
a 1 86 20788
a 1 87 27046
a 1 88 12652
a 1 93 644
a 1 95 2450
a 1 101 13240
a 1 113 18721
a 1 115 7703
a 1 116 32309
a 1 121 50191
a 1 126 869
a 1 127 22838
a 1 128 67503
a 1 129 55794
a 1 131 4064
a 1 135 71397
a 1 138 7066
a 1 140 9953
a 1 141 51352
a 1 145 5443
a 1 148 22634
a 1 149 23072
a 1 151 31354
a 1 154 28135
a 1 155 51006
a 1 157 11229
a 1 158 19152
a 1 164 15581
a 1 168 36753
a 1 172 12055
a 1 176 93161
a 1 178 2425
a 1 182 21905
a 1 189 58746
a 1 190 31573
a 1 196 43343
a 1 197 42561
a 1 199 4087
a 1 200 19642
a 1 201 36829
a 1 202 102199
a 1 208 3521
a 1 209 2038
a 1 210 523
a 1 211 7613
a 1 212 4046
a 1 214 2526
a 1 216 17712
a 1 221 45053
a 1 222 24066
a 1 229 23896
a 1 231 39950
a 1 232 37754
a 1 238 27695
a 1 240 5318
a 1 242 5385
a 1 250 37829
a 1 254 30650
a 1 257 3770
a 1 259 1162
a 1 263 19139
a 1 264 71616
a 1 265 45311
a 1 270 11857
a 1 275 40797
a 1 276 32295
a 1 279 15144
a 1 281 139
a 1 282 1434
a 1 288 29987
a 1 291 65991
a 1 292 22693
a 1 293 51187
a 1 294 16168
a 1 298 831
a 1 302 18839
a 1 303 3842
a 1 307 12792
a 1 318 102527
a 1 321 5447
a 1 323 30096
a 1 326 2912
a 1 328 15662
a 1 333 12364
a 1 336 14375
a 1 338 6185
a 1 345 16956
a 1 351 5629
a 1 353 74633
a 1 354 26574
a 1 360 15037
a 1 368 19688
a 1 369 49949
a 1 372 70779
a 1 376 13391
a 1 377 10156
a 1 378 27908
a 1 382 63784
a 1 383 35552
a 1 388 14116
a 1 389 34548
a 1 390 3154
a 1 400 11277
a 1 402 6869
a 1 403 3461
a 1 404 13595
a 1 411 20625
a 1 412 2849
a 1 414 29861
a 1 415 34237
a 1 420 46649
a 1 423 6732
a 1 427 29014
a 1 428 93559
a 1 433 10013
a 1 436 73820
a 1 442 571
a 1 443 20056
a 1 446 30905
a 1 449 20786
