c Example graph converted from input format to desired format
p sp 1000 249561
a 0 31 2032
a 0 77 4843
a 0 100 761
a 0 106 2947
a 0 115 235
a 0 125 1461
a 0 157 825
a 0 177 3827
a 0 178 1017
a 0 188 1577
a 0 200 887
a 0 211 18
a 0 324 2064
a 0 350 1669
a 0 391 1137
a 0 462 537
a 0 465 3486
a 0 551 3234
a 0 571 5063
a 0 593 672
a 0 595 1726
a 0 606 6231
a 0 669 2168
a 0 726 510
a 0 730 915
a 0 747 4790
a 0 780 1053
a 0 802 2982
a 0 834 1502
a 0 839 375
a 0 861 1394
a 0 911 795
a 0 952 196
a 0 992 1812
a 1 3 60150
a 1 4 79249
a 1 6 67181
a 1 12 72869
a 1 14 7443
a 1 20 78354
a 1 22 20124
a 1 25 68780
a 1 27 46404
a 1 28 5751
a 1 34 28120
a 1 37 22433
a 1 38 43885
a 1 41 56370
a 1 48 7662
a 1 49 73904
a 1 50 20335
a 1 51 5779
a 1 53 20722
a 1 56 7236
a 1 57 37073
a 1 58 9426
a 1 59 17514
a 1 61 9985
a 1 63 26303
a 1 70 1863
a 1 71 60231
a 1 76 46415
a 1 79 1856
a 1 84 38391
a 1 85 4227
a 1 87 37387
a 1 88 5650
a 1 89 90147
a 1 92 24354
a 1 93 48
a 1 94 44186
a 1 99 16007
a 1 100 43547
a 1 104 25637
a 1 105 93984
a 1 112 88237
a 1 119 7939
a 1 121 37153
a 1 123 49177
a 1 124 1327
a 1 125 123561
a 1 127 2457
a 1 129 692
a 1 130 8797
a 1 131 47025
a 1 132 7234
a 1 134 45724
a 1 136 5670
a 1 138 59662
a 1 139 18875
a 1 142 28075
a 1 145 65332
a 1 146 336
a 1 147 34338
a 1 149 43968
a 1 150 35483
a 1 158 9221
a 1 162 35541
a 1 164 499
a 1 165 21004
a 1 167 80539
a 1 169 8601
a 1 172 69131
a 1 175 40298
a 1 176 58408
a 1 178 108551
a 1 180 122319
a 1 183 56451
a 1 188 68720
a 1 190 8273
a 1 194 9663
a 1 196 1527
a 1 198 1651
a 1 199 24733
a 1 200 2843
a 1 201 22880
a 1 202 41656
a 1 203 17571
a 1 211 81906
a 1 212 14805
a 1 213 56213
a 1 218 8664
a 1 219 15702
a 1 221 94198
a 1 224 35586
a 1 225 3715
a 1 227 36774
a 1 228 10858
a 1 230 26830
a 1 232 2274
a 1 233 6061
a 1 236 59202
a 1 238 32039
a 1 240 3778
a 1 242 2491
a 1 243 1526
a 1 245 56576
a 1 247 3502
a 1 251 49785
a 1 253 86926
a 1 256 41594
a 1 257 88644
a 1 260 86369
a 1 261 26873
a 1 262 6263
a 1 264 1345
a 1 267 36860
a 1 269 1084
a 1 270 44355
a 1 271 7625
a 1 275 74598
a 1 278 54802
a 1 279 52446
a 1 281 41544
a 1 282 263
a 1 287 24067
a 1 293 28555
a 1 294 70634
a 1 295 36871
a 1 296 80262
a 1 297 7302
a 1 300 13923
a 1 301 1525
a 1 303 1045
a 1 304 118201
a 1 307 45177
a 1 309 16753
a 1 310 5437
a 1 311 21571
a 1 312 108660
a 1 313 37274
a 1 315 16906
a 1 316 46662
a 1 317 3219
a 1 318 1820
a 1 319 19917
a 1 323 54090
a 1 324 33911
a 1 326 2542
a 1 330 11282
a 1 331 81141
a 1 333 8213
a 1 334 23206
a 1 336 8968
a 1 337 64162
a 1 338 2909
a 1 342 65555
a 1 345 6679
a 1 347 341
a 1 349 38798
a 1 354 108010
a 1 355 1324
a 1 359 29031
a 1 364 28241
a 1 366 32264
a 1 367 107650
a 1 369 3278
a 1 370 25576
a 1 373 94041
a 1 375 31371
a 1 377 52039
a 1 380 47427
a 1 381 7384
a 1 384 22780
a 1 387 44358
a 1 388 63
a 1 391 118363
a 1 395 6541
a 1 396 15746
a 1 399 74604
a 1 402 30208
a 1 404 58287
a 1 405 71646
a 1 408 71978
a 1 410 301
a 1 411 47206
a 1 412 930
a 1 416 473
a 1 420 43121
a 1 422 25908
a 1 424 11621
a 1 425 25494
a 1 427 629
a 1 428 50530
a 1 430 9795
a 1 431 10406
a 1 433 66939
a 1 434 20526
a 1 437 32310
a 1 438 104871
a 1 440 27386
a 1 442 2340
a 1 447 25236
a 1 449 1117
a 1 452 9744
a 1 453 11158
a 1 454 26698
a 1 455 16970
a 1 456 40372
a 1 459 31138
a 1 460 40969
a 1 464 11086
a 1 467 66181
a 1 469 21221
a 1 474 30154
a 1 479 49710
a 1 483 7865
a 1 485 4061
a 1 486 16742
a 1 487 4216
a 1 488 87533
a 1 492 3113
a 1 495 16403
a 1 496 33683
a 1 498 71767
a 1 499 307
a 1 500 19835
a 1 501 51149
a 1 503 38679
a 1 504 24724
a 1 508 49937
a 1 510 8569
a 1 512 68217
a 1 513 916
a 1 515 82846
a 1 516 56480
a 1 517 2579
a 1 519 2801
a 1 520 59088
a 1 521 10438
a 1 524 8433
a 1 526 32615
a 1 528 68767
a 1 529 17317
a 1 530 125
a 1 533 101388
a 1 536 32939
a 1 537 12376
a 1 539 3501
a 1 540 7933
a 1 541 23049
a 1 543 20709
a 1 544 8369
a 1 545 59220
a 1 549 30207
a 1 552 59578
a 1 553 97867
a 1 554 8562
a 1 561 1163
a 1 562 49374
a 1 564 109510
a 1 565 16451
a 1 567 28835
a 1 570 43665
a 1 571 32223
a 1 573 36002
a 1 574 8782
a 1 579 1799
a 1 580 15660
a 1 581 11529
a 1 584 1252
a 1 585 396
a 1 587 26055
a 1 590 43397
a 1 593 11185
a 1 594 22324
a 1 595 77315
a 1 596 8977
a 1 598 10100
a 1 600 24931
a 1 602 56638
a 1 605 76107
a 1 607 12716
a 1 609 6604
a 1 614 12755
a 1 615 96628
a 1 616 15769
a 1 618 66232
a 1 620 6612
a 1 621 19659
a 1 622 5976
a 1 623 83666
a 1 624 63130
a 1 632 35283
a 1 633 110579
a 1 634 29253
a 1 635 119496
a 1 636 942
a 1 637 20731
a 1 638 18619
a 1 640 8305
a 1 641 116278
a 1 642 58209
a 1 643 21531
a 1 644 74385
a 1 645 71853
a 1 648 9335
a 1 649 8714
a 1 650 5513
a 1 651 49255
a 1 653 36600
a 1 654 75213
a 1 655 38967
a 1 656 74566
a 1 658 2465
a 1 659 3535
a 1 662 6900
a 1 663 29466
a 1 667 18469
a 1 668 7697
a 1 669 36737
a 1 673 28384
a 1 674 10229
a 1 676 7689
a 1 685 8402
a 1 686 46816
a 1 687 3486
a 1 689 8130
a 1 691 5447
a 1 694 19775
a 1 696 48727
a 1 701 111420
a 1 703 13244
a 1 704 11279
a 1 710 22103
a 1 711 9209
a 1 712 27158
a 1 713 4761
a 1 718 58469
a 1 720 68012
a 1 721 8426
a 1 723 39906
a 1 724 12102
a 1 725 24601
a 1 728 35269
a 1 729 20238
a 1 730 2778
a 1 732 45542
a 1 733 13743
a 1 734 29903
a 1 737 4935
a 1 738 48799
a 1 741 27721
a 1 742 24588
a 1 744 38153
a 1 748 2464
a 1 749 77955
a 1 751 15843
a 1 752 270
a 1 754 5961
a 1 756 57857
a 1 761 1239
a 1 762 33629
a 1 764 31658
a 1 765 10454
a 1 766 39232
a 1 767 87146
a 1 771 23829
a 1 775 65840
a 1 776 75859
a 1 777 109326
a 1 778 13449
a 1 779 13822
a 1 780 49496
a 1 781 25886
a 1 782 30523
a 1 786 43907
a 1 787 84494
a 1 788 81615
a 1 793 71962
a 1 798 40287
a 1 801 41407
a 1 802 102114
a 1 804 2759
a 1 805 975
a 1 807 14385
a 1 810 69880
a 1 812 15790
a 1 814 21037
a 1 815 28280
a 1 816 41331
a 1 817 19557
a 1 820 6753
a 1 822 116999
a 1 823 8958
a 1 824 45742
a 1 825 13554
a 1 826 47338
a 1 831 7930
a 1 835 40000
a 1 837 18111
a 1 838 56181
a 1 839 79568
a 1 842 71257
a 1 844 70964
a 1 846 42361
a 1 849 6233
a 1 853 53043
a 1 855 16933
a 1 858 10871
a 1 861 91812
a 1 862 21468
a 1 863 11099
a 1 865 114955
a 1 867 37380
a 1 869 1235
a 1 872 17886
a 1 875 54622
a 1 876 1799
a 1 877 13967
a 1 879 20980
a 1 882 1734
a 1 883 7471
a 1 884 31342
a 1 885 10518
a 1 886 83169
a 1 888 4849
a 1 889 26132
a 1 890 25666
a 1 892 72470
a 1 894 71539
a 1 900 95881
a 1 901 6887
a 1 902 9219
a 1 903 90
a 1 905 32937
a 1 908 94387
a 1 909 79653
a 1 910 29289
a 1 912 9714
a 1 916 53644
a 1 918 20542
a 1 920 32033
a 1 923 4644
a 1 926 82249
a 1 928 33901
a 1 929 128
a 1 932 61122
a 1 933 12121
a 1 934 33364
a 1 936 13327
a 1 940 58564
a 1 941 117105
a 1 943 272
a 1 944 317
a 1 947 16770
a 1 948 30479
a 1 950 6934
a 1 955 9674
a 1 959 52869
a 1 965 22405
a 1 973 31564
a 1 978 91575
a 1 981 9884
a 1 982 9329
a 1 983 59055
a 1 986 5571
a 1 992 68176
a 1 993 39842
a 1 994 103860
a 1 995 14649
a 1 996 25199
a 2 16 1271
a 2 20 1660
a 2 34 741
a 2 100 206
a 2 109 5383
a 2 112 424
a 2 113 10504
a 2 115 170
a 2 133 1855
a 2 144 5550
a 2 177 3649
a 2 178 13267
a 2 192 4622
a 2 194 4024
a 2 200 17774
a 2 211 1714
a 2 221 5044
a 2 224 1991
a 2 283 176
a 2 304 656
a 2 312 417
a 2 324 7379
a 2 339 1226
a 2 354 558
a 2 391 5078
a 2 409 618
a 2 429 15
a 2 437 6341
a 2 438 1225
a 2 448 3753
a 2 461 4253
a 2 484 2113
a 2 488 1173
a 2 509 2614
a 2 540 4548
a 2 563 4157
a 2 571 13019
a 2 611 7010
a 2 619 715
a 2 633 6285
a 2 656 679
a 2 672 2392
a 2 683 1965
a 2 730 113
a 2 747 7730
a 2 768 1124
a 2 775 1010
a 2 801 5508
a 2 810 1317
a 2 815 3409
a 2 828 540
a 2 839 3037
a 2 847 372
