c Example graph converted from input format to desired format
p sp 1000 249916
a 0 32 355
a 0 86 2224
a 0 170 2870
a 0 175 667
a 0 225 1844
a 0 279 7045
a 0 281 599
a 0 316 2672
a 0 320 411
a 0 345 7636
a 0 363 2403
a 0 372 3048
a 0 374 149
a 0 379 8244
a 0 386 805
a 0 425 103
a 0 432 1006
a 0 433 3153
a 0 447 346
a 0 496 1559
a 0 525 1593
a 0 566 3420
a 0 573 1384
a 0 603 28
a 0 702 7028
a 0 713 5273
a 0 720 3649
a 0 731 4498
a 0 755 541
a 0 764 1299
a 0 789 1428
a 0 831 4636
a 0 868 3084
a 0 902 2917
a 0 930 436
a 0 935 814
a 1 0 24876
a 1 6 12732
a 1 19 10164
a 1 22 13780
a 1 32 33953
a 1 33 22526
a 1 41 5129
a 1 43 11288
a 1 51 21119
a 1 54 1120
a 1 66 1853
a 1 67 12847
a 1 88 5056
a 1 92 5277
a 1 98 826
a 1 109 29051
a 1 115 21814
a 1 123 4734
a 1 124 34321
a 1 134 1286
a 1 140 2297
a 1 154 32053
a 1 156 10148
a 1 157 20010
a 1 175 14851
a 1 179 4138
a 1 195 8099
a 1 198 3911
a 1 204 31040
a 1 206 4231
a 1 225 41860
a 1 235 2126
a 1 240 8838
a 1 244 5280
a 1 247 7544
a 1 248 15132
a 1 249 3458
a 1 250 12931
a 1 255 957
a 1 256 1809
a 1 259 9109
a 1 262 6560
a 1 264 13913
a 1 271 25004
a 1 273 10001
a 1 305 10097
a 1 310 25263
a 1 316 16400
a 1 322 1537
a 1 326 26534
a 1 338 1788
a 1 344 11858
a 1 349 43911
a 1 353 18475
a 1 364 13413
a 1 368 23606
a 1 372 30835
a 1 374 12918
a 1 381 2720
a 1 383 32841
a 1 399 59
a 1 403 12828
a 1 410 6200
a 1 428 4449
a 1 429 4502
a 1 436 7644
a 1 438 2126
a 1 443 235
a 1 447 25081
a 1 452 14636
a 1 458 2466
a 1 468 6354
a 1 473 8605
a 1 481 14768
a 1 486 9915
a 1 496 23199
a 1 506 9828
a 1 515 23128
a 1 522 25727
a 1 524 539
a 1 525 25203
a 1 527 571
a 1 540 34033
a 1 542 8046
a 1 552 11330
a 1 553 600
a 1 566 15607
a 1 567 3158
a 1 590 1184
a 1 596 1455
a 1 602 1168
a 1 603 18227
a 1 611 10058
a 1 621 9866
a 1 641 4847
a 1 643 8110
a 1 647 23280
a 1 649 16130
a 1 651 32250
a 1 656 632
a 1 660 4456
a 1 661 7869
a 1 665 24755
a 1 673 4391
a 1 675 27671
a 1 680 19309
a 1 687 16804
a 1 698 9356
a 1 701 3816
a 1 707 3500
a 1 713 20019
a 1 720 33210
a 1 728 4354
a 1 729 3730
a 1 730 4689
a 1 731 1848
a 1 736 20591
a 1 755 21333
a 1 759 8455
a 1 760 5187
a 1 763 303
a 1 767 948
a 1 773 19616
a 1 776 22172
a 1 782 3175
a 1 788 20269
a 1 798 414
a 1 800 3329
a 1 804 12453
a 1 806 779
a 1 807 10563
a 1 817 2812
a 1 832 6185
a 1 834 2117
